CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,POB_TOTAL_CENSO_2020,tot_integ,hombres,mujeres,mayores,menores,p12_64,p65mas,ing_cor,transfer,gasto_mon,alimentos,ali_dentro,cereales,carnes,pescado,leche,huevo,aceites,tuberculo,verduras,frutas,azucar,cafe,especias,otros_alim,bebidas,ali_fuera,tabaco,vesti_calz,vestido,calzado,vivienda,alquiler,pred_cons,agua,energia,limpieza,cuidados,utensilios,enseres,salud,ambul_serv,aten_hosp,medic_prod,transporte,publico,foraneo,adqui_vehi,mantenim,refaccion,combus,comunica,educa_espa,educacion,esparci,paq_turist,personales,cuida_pers,acces_pers,pago_tarje,deudas,balance,hogares
01,Aguascalientes,001,Aguascalientes,948990,1007316.0,479271.0,528045.0,821893.0,185423.0,726049.0,95844.0,29190086753.739998,5408589818.72,17479312980.68,5768533064.059999,4274665949.1600003,623631879.9200001,899096318.68,98135023.86000001,419211372.88,163794168.1,39757045.03,57502018.99,441617170.19,223885129.28000003,28369274.919999998,41565217.67,32928497.119999997,816911832.03,388261000.49,1458802882.59,35064232.31,617095678.31,360779981.84000003,256315696.46999997,1505482375.43,739516867.26,88470706.76,247048849.13,430445952.28,1281073659.54,976822702.01,136981756.14999998,167269201.38,603058480.8800001,169607875.05,222827166.70999998,210623439.12,3803260639.96,333712518.3,113315007.04,813662844.64,1611139358.65,127218786.67,1483920571.98,931430911.33,2058817889.49,1219023485.8400002,547347779.39,292446624.26,1423823706.5700002,1058055980.5699999,57159932.92,836230236.94,150746631.31,139420144.33999997,300838.0
01,Aguascalientes,002,Asientos,51536,45822.0,21760.0,24062.0,34158.0,11664.0,31118.0,3040.0,720039283.19,170253440.56,408314027.36,162782878.45999998,138331749.15,26923815.009999998,24753506.28,1530354.93,14068893.03,7701037.1,1553243.75,3588037.79,14768314.29,6256870.24,749649.3200000001,410958.32,626563.52,21037813.300000004,14362692.270000001,23824002.619999997,627126.69,16301819.49,10092679.630000003,6209139.859999999,26800550.479999997,3358565.1,1045589.61,5864695.0,16531700.77,29916978.83,21783320.72,2058984.0500000003,6074674.0600000005,23757531.859999996,8163655.670000001,8074236.62,7519639.57,74829620.2,6868639.26,771072.6900000001,8823458.35,35140359.9,3626305.19,31514054.71,23226090.0,31510671.97,21255944.909999996,8429894.17,1824832.8900000001,31873840.400000002,29031176.629999995,1248346.4700000002,1741854.33,1889131.73,3763921.0600000005,12133.0
01,Aguascalientes,003,Calvillo,58250,64956.0,33867.0,31089.0,51676.0,13280.0,47054.0,4622.0,1075182926.23,211065780.82,755688742.0,300794361.52,241660054.55,46199700.07000001,43589308.48,3220674.5999999996,22083817.990000002,10278672.61,3278354.72,4691634.140000001,29880337.01,10477396.38,1566994.57,925086.05,1775648.71,42392468.79,21299960.43,57602132.6,1532174.37,21169433.66,13217628.899999999,7951804.76,63850322.04000001,24203869.51,2130483.75,11222906.56,26293062.22,36211289.32,27648033.59,2130757.8600000003,6432497.87,26526637.920000006,7555524.76,6818083.999999999,12153029.159999998,175583744.35999998,21281377.23,3685945.92,61269625.45,52319282.41,3527138.4699999997,48792143.94,37027513.35,55463913.13,31735164.090000004,13520312.18,10208436.86,50990187.919999994,41413717.43,1003910.1800000002,554818.93,305217.12,241628.24,18420.0
01,Aguascalientes,004,Cosío,17000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Aguascalientes,005,Jesús María,129929,153547.0,72185.0,81362.0,125204.0,28343.0,112550.0,12654.0,4187665550.79,627516592.97,2493476040.08,796549141.3800001,562142027.2,84582435.33,111984072.53,4885933.01,55119060.830000006,20657581.889999997,5482875.93,8340994.789999999,56539514.75,31494002.490000002,3226025.7199999997,4169049.7100000004,4695956.57,120047247.82,50917275.83,229741924.71999997,4665189.46,89324104.24000001,56734414.87,32589689.369999997,228429328.32999998,115046770.17999999,18735155.04,35075528.04,59571875.07000001,163957819.03,117905603.97,15422175.0,30630040.060000002,65506340.190000005,21526268.18,13904934.920000002,30075137.09,606444393.5500001,46325558.54000001,18741531.37,152752915.6,255886325.38,27339636.25,228546689.13,132738062.66,279505155.86,179857564.28,65685774.46,33961817.12,205694057.47,143033723.76999998,8388367.5,79381514.24000001,30082910.380000003,7917928.950000001,44715.0
01,Aguascalientes,006,Pabellón de Arteaga,47646,53678.0,25841.0,27837.0,43146.0,10532.0,40454.0,2692.0,1065155014.8300002,150129667.62,584675780.6800001,226494967.76,192259248.32999998,31245743.860000003,41068818.92,2299721.3899999997,14900126.510000002,8132268.850000001,2359702.34,2925630.27,22456707.619999997,10172113.36,1084674.8599999999,503237.68,1436181.9,38794048.0,14880272.77,32354723.43,1880996.0,20652171.14,11196775.32,9455395.82,44409262.67,14757474.62,1027216.5,8688933.0,19935638.55,34093954.83,24103905.599999998,6088400.859999999,3901648.3699999996,24889496.47,6182582.17,13658476.96,5048437.34,130916277.82999998,11200353.600000001,2063484.16,30866395.32,58176983.08,11066793.280000001,47110189.800000004,28609061.67,38102761.14,22106200.830000002,8500908.73,7495651.58,48808424.13,38263132.19,3052443.96,2659514.08,4642037.470000001,292990.32,13224.0
01,Aguascalientes,007,Rincón de Romos,57369,45896.0,22015.0,23881.0,36274.0,9622.0,31918.0,4356.0,675969103.72,155117711.3,445109815.36999995,187522561.96,151295147.12,30513480.669999998,27486155.440000005,897564.81,11862832.859999998,6266535.650000001,2822212.47,3139921.6100000003,18690187.250000004,5066076.23,1083806.1199999999,332388.24,808316.32,28513044.88,13812624.57,35494280.54,733134.2999999999,13343831.969999997,8178062.329999999,5165769.64,34004890.839999996,12893523.47,771412.25,7029251.13,13310703.99,29110770.85,21530605.07,2425092.7800000003,5155073.0,12894896.170000002,4259552.090000001,4256412.69,4378931.39,67836465.01,5551674.49,2278922.94,13856814.620000001,29762907.980000004,1617241.21,28145666.769999996,16386144.980000002,49674320.87000001,37698934.68000001,6868012.47,5107373.720000001,36532137.449999996,32645588.939999998,1857508.48,570517.8300000001,1285629.5,2646269.34,12158.0
01,Aguascalientes,008,San José de Gracia,9552,10752.0,5152.0,5600.0,8848.0,1904.0,7504.0,1344.0,270712232.0,91439978.55999999,154230209.28000003,52726736.16,40715717.28000001,6135754.240000001,12385397.920000004,734398.56,3522204.0,1337903.8400000003,381597.44,616313.6000000001,5082175.840000001,2284668.96,421916.32000000007,28798.56,241912.16000000003,5075987.84,2466688.0,11975019.840000002,35999.04,5718182.399999999,2640504.1599999997,3077678.24,8072375.36,2184000.0,205240.0,1682912.0,4000223.3600000003,14333901.12,12388307.68,699568.8,1246024.6400000001,5733967.680000001,2315103.84,1840695.3599999999,1578168.4800000002,32840712.8,2216144.0,255286.08,5128728.640000001,18766912.64,1875331.3599999999,16891581.28,6473641.44,13793032.959999999,8267542.080000001,3524431.68,2001059.2,17653717.76,14561694.56,970632.32,8880168.64,2715479.2,1710151.52,2464.0
01,Aguascalientes,009,Tepezalá,22485,20485.0,9104.0,11381.0,15652.0,4833.0,13337.0,2315.0,300524475.83,73643416.14,172651686.05,68646415.30000001,59498700.11000001,12694460.899999999,11977770.600000001,242882.16,5154390.93,2400888.2199999997,1171825.5399999998,1220830.25,8858412.81,2295948.4499999997,524677.5800000001,295222.93999999994,506344.83999999997,7584992.339999999,4570052.55,8606692.64,541022.55,5530461.45,2557885.22,2972576.23,9424170.2,695128.75,344746.5,1644634.02,6739660.930000001,12548240.31,9702006.05,723836.4199999999,2122397.8400000003,7114756.32,2383230.08,1491847.03,3239679.2100000004,36757434.949999996,3508840.84,532997.8,8543356.21,16824496.96,837539.9100000001,15986957.049999999,7347743.14,13360054.979999999,10673152.46,1687752.3699999999,999150.1499999999,15389590.12,13261046.58,405216.37,747292.2,522995.91000000003,3322272.88,5444.0
01,Aguascalientes,010,El Llano,20853,19420.0,9041.0,10379.0,14073.0,5347.0,12926.0,1147.0,327417806.2,84241568.46000001,207228861.33,89042159.06,67890079.83999999,12043201.660000002,11865267.410000002,981072.63,6375705.82,2898802.79,706956.72,883653.1499999999,6896355.94,1912270.8399999999,504946.23000000004,162974.51999999996,703611.8699999999,13493946.600000003,8461313.659999998,19836808.27,1315270.9500000002,7793665.3900000015,4433107.58,3360557.810000001,12619275.950000001,3499527.42,156122.0,2048071.5,6915555.029999999,13088040.939999998,7562553.59,1312700.2599999998,4212787.090000001,5141560.380000001,1803618.37,0.0,3337942.0099999993,42741759.53,4825619.79,5013.4800000000005,6639894.5600000005,23115928.58,1619110.4899999998,21496818.09,8155303.120000001,15350025.100000001,10332804.120000001,4657710.43,359510.55,17260983.16,15243368.530000001,558089.25,870877.9299999999,197704.27,5172046.61,5826.0
